Fecha y Hora de Inicio (dd/MM/aaaa  HH:mm:ss),Fecha y Hora de Finalización (dd/MM/aaaa  HH:mm:ss),"O3 (ug/m3)
Condición Estándar",Velocidad del Viento (m/s),Dirección del viento (Grados),Temperatura 10cm (°C),Precipitación (mm),Presión atmosférica (mm Hg),Humedad Relativa 10m (%),Radiación Solar Global (W/m2)
01/01/2022 12:00:00 AM,01/01/2022 12:59:59 AM,40.208417,0.146154,97.266667,23.607692,0,756.130769,93.948718,0
01/01/2022 01:00:00 AM,01/01/2022 01:59:59 AM,33.181924,0.35,224.278947,22.794737,0,755.611184,94.444737,0
01/01/2022 02:00:00 AM,01/01/2022 02:59:59 AM,22.828762,0.25641,179.684615,22.225641,0,755.292308,95.258974,0
01/01/2022 03:00:00 AM,01/01/2022 03:59:59 AM,18.917338,0.392308,206.848718,22.089744,0,755.3,95.138462,0
01/01/2022 07:00:00 AM,01/01/2022 07:59:59 AM,26.249637,0.251282,79.897436,23.015385,0,756.890385,94.687179,39.076923
01/01/2022 08:00:00 AM,01/01/2022 08:59:59 AM,28.277216,0.436842,148.652632,26.107895,0,757.330263,81.552632,59.073684
01/01/2022 09:00:00 AM,01/01/2022 09:59:59 AM,29.676595,0.446154,120.610256,28.233333,0,757.330769,73.220513,72.923077
01/01/2022 10:00:00 AM,01/01/2022 10:59:59 AM,38.505169,0.584615,170.58718,30.515385,0,757.290385,65.276923,334.58718
01/01/2022 11:00:00 AM,01/01/2022 11:59:59 AM,50.519353,0.9,200.839474,31.642105,0,756.986842,62.360526,533.794737
01/01/2022 12:00:00 PM,01/01/2022 12:59:59 PM,66.59988,1.128947,205.142105,32.231579,0,756.461842,61.536842,741.671053
01/01/2022 01:00:00 PM,01/01/2022 01:59:59 PM,68.796984,1.189744,200.5,32.217949,0,755.803846,60.246154,688.335897
01/01/2022 02:00:00 PM,01/01/2022 02:59:59 PM,71.004738,0.902632,205.902632,32.6,0,755.218421,56.584211,559.760526
01/01/2022 03:00:00 PM,01/01/2022 03:59:59 PM,71.858345,0.865789,205.589744,31.853846,0,754.876923,55.020513,151.820513
01/01/2022 04:00:00 PM,01/01/2022 04:59:59 PM,76.311414,0.697436,207.866667,31.135897,0,754.930769,57.497436,58.538462
01/01/2022 05:00:00 PM,01/01/2022 05:59:59 PM,77.575756,0.360526,140.892105,29.95,0,755.135526,62.884211,24.186842
01/01/2022 06:00:00 PM,01/01/2022 06:59:59 PM,74.12699,0.357895,203.052632,28.184211,0,755.34079,71.478947,0.034211
01/01/2022 07:00:00 PM,01/01/2022 07:59:59 PM,69.408643,0.776923,294.179487,26.933333,0,755.798077,79.171795,0
01/01/2022 08:00:00 PM,01/01/2022 08:59:59 PM,62.1776,0.887179,298.441026,25.802564,0,756.328846,86.017949,0
01/01/2022 09:00:00 PM,01/01/2022 09:59:59 PM,56.980343,0.881579,319.155263,25.610526,0,756.451974,87.934211,0
01/01/2022 10:00:00 PM,01/01/2022 10:59:59 PM,51.631084,0.453846,219.394872,25.025641,0,756.751923,89.848718,0
01/01/2022 11:00:00 PM,01/01/2022 11:59:59 PM,47.132545,0.387179,234.658974,24.215385,0,756.615385,92.379487,0
01/02/2022 12:00:00 AM,01/02/2022 12:59:59 AM,43.971224,0.234211,92.010526,23.813158,0,756.31579,92.423684,0
01/02/2022 01:00:00 AM,01/02/2022 01:59:59 AM,41.558253,0.344737,175.886842,23.118919,0,755.863816,93.510526,0
01/02/2022 02:00:00 AM,01/02/2022 02:59:59 AM,39.617,0.494872,227.461539,22.948718,0,755.444231,93.984615,0
01/02/2022 03:00:00 AM,01/02/2022 03:59:59 AM,38.726788,0.423077,167.9,22.833333,0,755.484615,94.379487,0
01/02/2022 04:00:00 AM,01/02/2022 04:59:59 AM,37.347833,0.539474,224.41579,22.676316,0,755.717763,94.386842,0
01/02/2022 05:00:00 AM,01/02/2022 05:59:59 AM,35.155461,0.510256,224.471795,22.664103,0,755.921154,94.738462,0
01/02/2022 06:00:00 AM,01/02/2022 06:59:59 AM,34.255214,0.174359,131.423077,22.951282,0,738.688462,92.984615,9.012821
01/02/2022 07:00:00 AM,01/02/2022 07:59:59 AM,32.990203,0.356757,232.705405,24.794595,0,757.05,86.872973,39.989189
01/02/2022 08:00:00 AM,01/02/2022 08:59:59 AM,30.599405,0.761538,276.017949,27.566667,0,757.776923,79.787179,60.115385
01/02/2022 09:00:00 AM,01/02/2022 09:59:59 AM,31.21159,0.541026,131.125641,29.821053,0,758.090385,71.941026,82.984615
01/02/2022 10:00:00 AM,01/02/2022 10:59:59 AM,34.607659,0.653846,186.751282,31.661538,0,758.048077,67.630769,338.515385
01/02/2022 11:00:00 AM,01/02/2022 11:59:59 AM,40.545903,1.013158,197.578947,31.592105,0,757.663816,69.302632,538.078947
01/02/2022 12:00:00 PM,01/02/2022 12:59:59 PM,48.544096,1.371795,189.097436,32.112821,0,757.192308,69.828205,751.24359
01/02/2022 01:00:00 PM,01/02/2022 01:59:59 PM,60.032862,1.523077,190.45641,31.848718,0,756.594231,70.817949,695.85641
01/02/2022 02:00:00 PM,01/02/2022 02:59:59 PM,63.352968,1.072973,207.378378,31.775676,0,756.222917,70.967568,573.105405
01/02/2022 03:00:00 PM,01/02/2022 03:59:59 PM,64.914693,0.920513,226.246154,30.512821,0,756.05,72.882051,167.994872
01/02/2022 04:00:00 PM,01/02/2022 04:59:59 PM,70.272463,0.630769,189.374359,29.828205,0,755.998077,71.361538,68.197436
01/02/2022 05:00:00 PM,01/02/2022 05:59:59 PM,73.256801,0.479487,225.605128,29.223077,0,756.221154,70.702564,30.315385
01/02/2022 06:00:00 PM,01/02/2022 06:59:59 PM,74.240038,0.786842,312.992105,27.834211,0,756.669079,75.768421,0.031579
01/02/2022 07:00:00 PM,01/02/2022 07:59:59 PM,71.621254,0.84359,317.941026,26.75641,0,757.207692,82.764103,0
01/02/2022 08:00:00 PM,01/02/2022 08:59:59 PM,66.912445,0.805128,306.651282,25.989744,0,757.757692,87.648718,0
01/02/2022 09:00:00 PM,01/02/2022 09:59:59 PM,60.702819,0.821622,314.048649,25.481081,0,758.15473,90.162162,0
01/02/2022 10:00:00 PM,01/02/2022 10:59:59 PM,55.242416,0.907692,321.453846,25.335897,0,758.311539,90.010256,0
01/02/2022 11:00:00 PM,01/02/2022 11:59:59 PM,51.165923,0.666667,278.779487,24.871795,0,758.248077,91.579487,0
01/03/2022 12:00:00 AM,01/03/2022 12:59:59 AM,48.624405,0.702564,318.069231,24.525641,0,758.040385,92.333333,0
01/03/2022 01:00:00 AM,01/03/2022 01:59:59 AM,45.729091,0.852632,328.692105,24.265789,0,757.677632,93.476316,0
01/03/2022 02:00:00 AM,01/03/2022 02:59:59 AM,42.78237,0.394872,200.535897,24.14359,0,757.378846,93.764103,0
01/03/2022 03:00:00 AM,01/03/2022 03:59:59 AM,41.153018,0.464103,284.864103,23.797436,0,757.284615,94.746154,0
01/03/2022 04:00:00 AM,01/03/2022 04:59:59 AM,40.650456,0.505263,268.989474,23.702632,0,757.369737,94.286842,0
01/03/2022 05:00:00 AM,01/03/2022 05:59:59 AM,40.295073,0.405263,218.523684,22.984211,0,757.657895,95.160526,0
01/03/2022 06:00:00 AM,01/03/2022 06:59:59 AM,39.238359,0.489744,271.497436,22.925641,0,758.048077,94.676923,8.95641
01/03/2022 07:00:00 AM,01/03/2022 07:59:59 AM,37.204024,0.492308,241.879487,24.251282,0,758.680769,91.176923,43.574359
01/03/2022 08:00:00 AM,01/03/2022 08:59:59 AM,34.753372,0.221053,145.652632,26.821053,0,759.191447,83.352632,67.321053
01/03/2022 09:00:00 AM,01/03/2022 09:59:59 AM,34.239844,0.764103,276.238462,28.925641,0,759.215385,71.471795,76.346154
01/03/2022 10:00:00 AM,01/03/2022 10:59:59 AM,35.552988,0.828205,310.369231,31.048718,0,758.967308,62.346154,329.941026
01/03/2022 11:00:00 AM,01/03/2022 11:59:59 AM,38.339213,0.935135,221.27027,33.078378,0,758.493243,57.866667,744.32973
01/03/2022 12:00:00 PM,01/03/2022 12:59:59 PM,42.232864,1.087179,199.182051,32.864103,0,757.855769,61.384615,768.574359
01/03/2022 01:00:00 PM,01/03/2022 01:59:59 PM,45.387707,0.997436,204.310256,33.074359,0,757.040385,60.958974,696.407692
01/03/2022 02:00:00 PM,01/03/2022 02:59:59 PM,50.357351,0.986842,211.2,33.394737,0,756.311842,58.686842,572.41579
01/03/2022 03:00:00 PM,01/03/2022 03:59:59 PM,54.987785,0.784615,215.448718,32.946154,0,755.911539,58.923077,191.071795
01/03/2022 04:00:00 PM,01/03/2022 04:59:59 PM,59.531584,0.746154,247.333333,32.107692,0,755.815385,57.535897,69.246154
01/03/2022 05:00:00 PM,01/03/2022 05:59:59 PM,61.525785,0.656757,269.516216,30.564865,0,756.093243,60.472973,25.886486
01/03/2022 06:00:00 PM,01/03/2022 06:59:59 PM,61.503104,1.489744,316.45641,28.269231,0,756.371154,71.482051,0.053846
01/03/2022 07:00:00 PM,01/03/2022 07:59:59 PM,59.646655,2.092308,313.415385,26.589744,0,756.923077,79.497436,0
01/03/2022 08:00:00 PM,01/03/2022 08:59:59 PM,57.172774,1.968421,314.152632,25.855263,0,757.430921,82.826316,0
01/03/2022 09:00:00 PM,01/03/2022 09:59:59 PM,55.437946,1.325641,337.894872,25.387179,0,757.751923,84.528205,0
01/03/2022 10:00:00 PM,01/03/2022 10:59:59 PM,52.849471,0.551282,189.65641,24.915385,0,757.732692,86.030769,0
01/03/2022 11:00:00 PM,01/03/2022 11:59:59 PM,50.990913,0.610526,300.210526,24.536842,0,757.523684,87.147368,0
01/04/2022 12:00:00 AM,01/04/2022 12:59:59 AM,49.563641,0.85,326.523684,24.121053,0,757.046053,87.744737,0
01/04/2022 01:00:00 AM,01/04/2022 01:59:59 AM,48.835039,0.525641,257.771795,23.733333,0,756.421154,89.289744,0
01/04/2022 02:00:00 AM,01/04/2022 02:59:59 AM,48.648997,0.564103,307.264103,23.471795,0,756.036539,91.571795,0
01/04/2022 03:00:00 AM,01/04/2022 03:59:59 AM,48.548252,0.6,275.476316,23.386842,0,756.059211,92.531579,0
01/04/2022 04:00:00 AM,01/04/2022 04:59:59 AM,48.079745,0.851282,310.874359,23.712821,0,756.363462,90.548718,0
01/04/2022 05:00:00 AM,01/04/2022 05:59:59 AM,47.004118,0.602564,308.566667,23.528205,0,756.682692,90.135897,0
01/04/2022 06:00:00 AM,01/04/2022 06:59:59 AM,45.141221,0.587179,298.897436,22.925641,0,757.1,92.064103,9.974359
01/04/2022 07:00:00 AM,01/04/2022 07:59:59 AM,42.652193,0.932432,329.510811,24.164865,0,757.862838,87.478378,44.448649
01/04/2022 08:00:00 AM,01/04/2022 08:59:59 AM,39.780502,1.048718,318.589744,26.223077,0,758.326923,79.266667,63.089744
01/04/2022 09:00:00 AM,01/04/2022 09:59:59 AM,37.059018,0.602564,272.820513,28.141026,0,758.371154,73.861538,72.638462
01/04/2022 10:00:00 AM,01/04/2022 10:59:59 AM,35.210278,0.634211,171.489474,30.573684,0,758.103947,66.265789,327.302632
01/04/2022 11:00:00 AM,01/04/2022 11:59:59 AM,36.107394,0.923077,194.846154,31.764103,0,757.726923,61.920513,544.525641
01/04/2022 12:00:00 PM,01/04/2022 12:59:59 PM,40.555632,1.34359,203.079487,32.071795,0,757.042308,62.130769,654.523077
01/04/2022 01:00:00 PM,01/04/2022 01:59:59 PM,45.026079,1.010526,217.855263,32.747368,0,756.333553,59.613158,698.634211
01/04/2022 02:00:00 PM,01/04/2022 02:59:59 PM,50.374465,1.378947,209.497368,32.102632,0,755.634868,59.813158,565.581579
01/04/2022 03:00:00 PM,01/04/2022 03:59:59 PM,53.854551,0.9,226.284615,31.787179,0,755.148077,60.484615,174.882051
01/04/2022 04:00:00 PM,01/04/2022 04:59:59 PM,56.59038,1.017949,292.312821,30.702564,0,754.998077,64.24359,74.310256
01/04/2022 05:00:00 PM,01/04/2022 05:59:59 PM,59.106306,1.781579,306.489474,28.071053,0,755.394079,73.681579,28.471053
01/04/2022 06:00:00 PM,01/04/2022 06:59:59 PM,59.967102,2.030769,312.023077,26.605128,0,755.926923,79.953846,0.151282
01/04/2022 07:00:00 PM,01/04/2022 07:59:59 PM,58.332281,2.176923,315.148718,26.215385,0,756.444231,79.425641,0
01/04/2022 08:00:00 PM,01/04/2022 08:59:59 PM,54.263557,1.964103,320.628205,26.005128,0,756.990385,78.276923,0
01/04/2022 09:00:00 PM,01/04/2022 09:59:59 PM,51.326334,1.778378,319.754054,25.527027,0,757.22027,79.672973,0
01/04/2022 10:00:00 PM,01/04/2022 10:59:59 PM,47.75359,1.464103,315.492308,24.753846,0,757.098077,82.671795,0
01/04/2022 11:00:00 PM,01/04/2022 11:59:59 PM,46.447166,1.564103,321.525641,24.64359,0,756.738462,84.207692,0
01/05/2022 12:00:00 AM,01/05/2022 12:59:59 AM,46.268979,1.597368,315.952632,24.136842,0,756.270395,87.423684,0
01/05/2022 01:00:00 AM,01/05/2022 01:59:59 AM,46.546687,0.507692,104.807692,23.6,0,755.803846,89.384615,0
01/05/2022 02:00:00 AM,01/05/2022 02:59:59 AM,47.378385,0.051282,20.987179,22.8,0,755.244231,92.989744,0
01/05/2022 03:00:00 AM,01/05/2022 03:59:59 AM,48.150714,0.015789,0.326316,22.347368,0,736.997368,93.768421,0
01/05/2022 04:00:00 AM,01/05/2022 04:59:59 AM,47.669298,0.05,20.381579,21.868421,0,755.180921,94.865789,0
01/05/2022 05:00:00 AM,01/05/2022 05:59:59 AM,46.062078,0.374359,181.1,21.930769,0,755.459615,94.202564,0
01/05/2022 06:00:00 AM,01/05/2022 06:59:59 AM,43.964987,0.497436,208.207692,21.617949,0,755.905769,94.474359,8.084615
01/05/2022 07:00:00 AM,01/05/2022 07:59:59 AM,41.190466,0.507692,271.153846,22.887179,0,756.555769,91.238462,41.182051
01/05/2022 08:00:00 AM,01/05/2022 08:59:59 AM,37.922213,0.365789,120.926316,25.913158,0,756.982895,78.755263,63.878947
01/05/2022 09:00:00 AM,01/05/2022 09:59:59 AM,35.869057,0.407692,154.866667,28.248718,0,757.036539,71.876923,75.387179
01/05/2022 10:00:00 AM,01/05/2022 10:59:59 AM,35.634277,0.712821,191.7,30.184615,0,756.884615,66.553846,335.558974
01/05/2022 11:00:00 AM,01/05/2022 11:59:59 AM,38.83737,1.283784,195.802703,31.208108,0,756.602027,62.513514,744.118919
01/05/2022 12:00:00 PM,01/05/2022 12:59:59 PM,41.173273,1.392308,189.466667,31.684615,0,755.965385,62.084615,762.18718
01/05/2022 01:00:00 PM,01/05/2022 01:59:59 PM,44.299111,1.371795,195.658974,32.351282,0,755.046154,59.764103,694.079487
01/05/2022 02:00:00 PM,01/05/2022 02:59:59 PM,48.284489,0.689744,258.110256,33.469231,0,754.307692,55.733333,466.612821
01/05/2022 03:00:00 PM,01/05/2022 03:59:59 PM,53.964976,1.247368,303.236842,32.415789,0,753.945395,56.789474,174.023684
01/05/2022 04:00:00 PM,01/05/2022 04:59:59 PM,58.215792,1.312821,301.889744,30.964103,0,754.076923,61.048718,63.602564
01/05/2022 05:00:00 PM,01/05/2022 05:59:59 PM,61.303761,1.713158,312.652632,28.818421,0,734.871711,68.805263,27.060526
01/05/2022 06:00:00 PM,01/05/2022 06:59:59 PM,61.412158,2.22973,314.623684,26.728947,0,754.723026,77.547368,0.086842
01/05/2022 07:00:00 PM,01/05/2022 07:59:59 PM,57.328795,1.925641,315.894872,25.633333,0,755.353846,81.94359,0
01/05/2022 08:00:00 PM,01/05/2022 08:59:59 PM,55.415617,1.931579,313.939474,25.121053,0,755.820395,83.123684,0
01/05/2022 09:00:00 PM,01/05/2022 09:59:59 PM,53.346141,1.571795,317.392308,24.620513,0,756.232692,84.392308,0
01/05/2022 10:00:00 PM,01/05/2022 10:59:59 PM,51.291723,1.787179,313.610256,24.25641,0,756.163462,85.915385,0
01/05/2022 11:00:00 PM,01/05/2022 11:59:59 PM,48.446876,1.578947,315.55,23.863158,0,755.909211,86.65,0
01/06/2022 12:00:00 AM,01/06/2022 12:59:59 AM,47.528306,0.307895,78.839474,23.35,0,755.85,87.502632,0
01/06/2022 01:00:00 AM,01/06/2022 01:59:59 AM,46.708966,0.189744,101.98718,22.446154,0,755.492308,90.074359,0
01/06/2022 02:00:00 AM,01/06/2022 02:59:59 AM,47.028019,0.215385,62.951282,21.684615,0,755,91.502564,0
01/06/2022 03:00:00 AM,01/06/2022 03:59:59 AM,47.52391,0.374359,199.841026,21.238462,0,754.825,92.384615,0
01/06/2022 04:00:00 AM,01/06/2022 04:59:59 AM,46.990153,0.334211,205.423684,21.007895,0,755.119737,92.573684,0
01/06/2022 05:00:00 AM,01/06/2022 05:59:59 AM,45.107181,0.425641,262.666667,20.702564,0,755.469231,92.5,0
01/06/2022 06:00:00 AM,01/06/2022 06:59:59 AM,41.748404,0.430769,258.546154,20.45641,0,755.828846,91.510256,8.589744
01/06/2022 07:00:00 AM,01/06/2022 07:59:59 AM,40.983723,0.373684,165.734211,22.318421,0,756.463816,90.405263,38.944737
01/06/2022 08:00:00 AM,01/06/2022 08:59:59 AM,39.798442,0.336842,125.878947,26.292105,0,757.034211,76.442105,54.210526
01/06/2022 09:00:00 AM,01/06/2022 09:59:59 AM,36.13601,0.641026,221.75641,28.528205,0,757.367308,68.646154,64.546154
01/06/2022 10:00:00 AM,01/06/2022 10:59:59 AM,35.49496,0.571795,162.512821,30.117949,0,757.259615,64.825641,297.746154
01/06/2022 11:00:00 AM,01/06/2022 11:59:59 AM,41.081561,1.138462,203.461539,31.641026,0,756.884615,61.161538,740.784615
01/06/2022 12:00:00 PM,01/06/2022 12:59:59 PM,48.703592,1.057895,198.144737,31.786842,0,756.252632,59.652632,731.994737
01/06/2022 01:00:00 PM,01/06/2022 01:59:59 PM,56.63403,1.210256,191.274359,32.210256,0,755.536539,59.305128,697.238462
01/06/2022 02:00:00 PM,01/06/2022 02:59:59 PM,64.570578,0.958974,195.835897,32.894737,0,754.946154,55.776923,589.876923
01/06/2022 03:00:00 PM,01/06/2022 03:59:59 PM,64.399934,0.686842,249.226316,32.539474,0,754.6875,54.065789,156.11579
01/06/2022 04:00:00 PM,01/06/2022 04:59:59 PM,64.011535,0.560526,232.281579,30.963158,0,754.823684,60.876316,69.513158
01/06/2022 05:00:00 PM,01/06/2022 05:59:59 PM,67.00184,0.946154,260.666667,28.684211,0,755.173077,70.751282,28.15641
01/06/2022 06:00:00 PM,01/06/2022 06:59:59 PM,67.086212,1.5,308.907692,26.494872,0,755.576923,80.669231,0.089744
01/06/2022 07:00:00 PM,01/06/2022 07:59:59 PM,62.975058,1.910256,313.217949,25.605128,0,755.978846,84.905128,0
01/06/2022 08:00:00 PM,01/06/2022 08:59:59 PM,57.763652,2.102632,312.223684,25.023684,0,756.345395,88.271053,0
01/06/2022 09:00:00 PM,01/06/2022 09:59:59 PM,54.248369,1.461538,311.725641,24.35641,0,756.667308,91.05641,0
01/06/2022 10:00:00 PM,01/06/2022 10:59:59 PM,51.622304,0.523077,189.082051,24.038462,0,756.569231,91.682051,0
01/06/2022 11:00:00 PM,01/06/2022 11:59:59 PM,49.485285,0.091892,19.113514,23.462162,0,756.356757,93.118919,0
01/07/2022 12:00:00 AM,01/07/2022 12:59:59 AM,47.793552,0.115385,43.671795,23.094872,0,756.280769,93.576923,0
01/07/2022 01:00:00 AM,01/07/2022 01:59:59 AM,47.356547,0.487179,195.638462,22.528205,0,755.953846,93.602564,0
01/07/2022 02:00:00 AM,01/07/2022 02:59:59 AM,47.347188,0.173684,76.6,22.186842,0,755.577632,94.042105,0
01/07/2022 03:00:00 AM,01/07/2022 03:59:59 AM,46.858486,0.305128,119.892308,21.612821,0,755.492308,94.697436,0
01/07/2022 04:00:00 AM,01/07/2022 04:59:59 AM,45.608088,0.492308,210.689744,21.507692,0,755.782692,94.894872,0
01/07/2022 05:00:00 AM,01/07/2022 05:59:59 AM,42.603324,0.589744,294.420513,21.335897,0,756.286539,94.992308,0
01/07/2022 06:00:00 AM,01/07/2022 06:59:59 AM,39.284835,0.321053,182.544737,21.592105,0,757.211842,95.755263,11.821053
01/07/2022 07:00:00 AM,01/07/2022 07:59:59 AM,38.285537,0.392105,115.239474,23.628947,0,758.04079,93.110526,55.823684
01/07/2022 08:00:00 AM,01/07/2022 08:59:59 AM,36.706647,0.594872,202.223077,25.651282,0,758.588462,86.007692,64.205128
01/07/2022 09:00:00 AM,01/07/2022 09:59:59 AM,33.145959,0.823077,306.266667,27.987179,0,758.634615,74.974359,70.010256
01/07/2022 10:00:00 AM,01/07/2022 10:59:59 AM,31.702392,0.739474,174.634211,30.221053,0,758.358553,63.810526,301.236842
01/07/2022 11:00:00 AM,01/07/2022 11:59:59 AM,35.70004,1.017949,205.48718,32.412821,0,758.105769,59.653846,742.710256
01/07/2022 12:00:00 PM,01/07/2022 12:59:59 PM,43.856114,1.102632,218.476316,31.868421,0,757.458553,62.205263,729.863158
01/07/2022 01:00:00 PM,01/07/2022 01:59:59 PM,52.045481,1.639474,195.078947,31.626316,0,756.939474,62.744737,676.6
01/07/2022 02:00:00 PM,01/07/2022 02:59:59 PM,59.313961,1.307692,188.35641,31.364103,0,756.548077,62.546154,539.564103
01/07/2022 03:00:00 PM,01/07/2022 03:59:59 PM,62.042707,1.117949,202.882051,30.633333,0,756.455769,62.810256,159.784615
01/07/2022 04:00:00 PM,01/07/2022 04:59:59 PM,62.995784,0.6,231.086842,30.413158,0,756.507237,63.010526,65.189474
01/07/2022 05:00:00 PM,01/07/2022 05:59:59 PM,68.089809,0.797436,294.082051,29.158974,0,756.746154,64.971795,27.076923
01/07/2022 06:00:00 PM,01/07/2022 06:59:59 PM,70.868013,1.453846,313.979487,27.274359,0,757.198077,73.294872,0.066667
01/07/2022 07:00:00 PM,01/07/2022 07:59:59 PM,68.320573,1.752632,313.405263,25.923684,0,757.768421,81.731579,0
01/07/2022 08:00:00 PM,01/07/2022 08:59:59 PM,63.269706,1.644737,316.202632,25.365789,0,758.4,83.913158,0
